,A
697,"살해범인 홍성우(당 22세), 김필순, 김필수(金弼壽, 24세) 유정석(당 23세), 김지양(당 23세) 등은 조직폭력배로 홍성우의 별명은 꺽쇠, 김필순의 별명은 떼부, 유정석(또는 자정석(自政奭), 가명)의 별명은 청수, 김지양은 땅딸보 등으로 불리었다. 이들은 1945년 이후 경성부(서울특별자유시로 변경) 일대를 돌며 강도 행각을 벌였다. 1945년 12월 30일 송진우 피살 사건과 12월 31일의 신탁통치 반대 시위로 혼란해졌다가 1946년 2월 사태가 수습된 서울시내의 민심은 흉흉해졌고, 미군정은 경계 검문을 강화하였다."
698,"그는 네덜란드계(네덜란드인) 백인의 후손인 아프리카너이며, 아프리칸스어도 사용했으나, 영어권을 중심으로 활동하고 작품도 영어로 썼기 때문에, 그의 이름도 영어식인 존 맥스웰 쿳시로 발음하는 경우가 많다. 그는 케이프타운 대학교에서 수학과 영문학을 전공하였다. 1960년대 초 영국으로 이주하여 IBM을 거쳐 영국의 컴퓨터 하드웨어 업체인 ICL에서 프로그래머로 일했다. 이 때의 경험은 《Youth》(2002)에 기록되어 있다. 그 후 미국으로 건너가 텍사스 대학교에서 언어학을 전공, 박사학위를 받았으며, 1968년 ~ 1971년 뉴욕 주 버펄로(버펄로 (뉴욕 주))의 뉴욕 주립 대학교에서 영문학을 강의했다. 버펄로에서 첫 작품 《어둠의 땅(Dusklands)》을 착수하였다. 그 사이 그는 미국 영주권을 신청했으나, 베트남 전쟁 반대 운동을 했다는 이유로 영주권 발급이 허락되지 않자 곧 남아프리카 공화국으로 돌아와 케이프타운 대학교의 영문학 교수로 2001년까지 재직했다."
699,"여기에 쓰인 음악은 1975년 이후 릭 라이트가 처음으로 밴드에서 곡을 쓴 것이다. 1992년 박스 세트 Shine On이 발매되었다. 이 박스에는 스튜디오 앨범 A Saucerful of Secrets, Meddle, The Dark Side of the Moon, Wish You Were Here, Animals, The Wall, A Momentary Lapse of Reason이 들어 있으며, 시드 배럿 시절의 싱글을 담은 The Early Singles도 포함되어 있다. 이 해에 로저 워터스는 Amused to Death를 발표했다. 핑크 플로이드의 정규 앨범 14집은 1994년 발표된 The Division Bell이다. 이 시기에 이르러 밴드의 결속력은 더욱 강해졌고, 릭 라이트는 정식 멤버로써 작업에 참여하였다. 이 앨범은 평론가들로부터 Momentary Lapse of Reason보다 더 긍정적인 평가를 받았고(하지만 여전히 전성기때의 음악보다는 못하다는 평가가 우세하다), 영국과 미국에서 동시에 차트 1위를 차지한 그들의 두 번째 앨범이 되었다."
700,"일본 제국이 패망한 뒤, 숭실의 재건이 논의되었지만 당장은 이루어지지 못하고 있었다. 한국 전쟁 직후인 1953년에 영락교회가 숭실대학재건기성회와 숭실대학재단이사회(학교법인 숭실대학교)를 조직하고 문교부(대한민국 교육인적자원부)에 '숭실대학 설립인가'를 요청했다. 1954년에 설립이 허가되면서 자진 폐교 16년만에 평양 숭실대학교는 서울 숭실대학교로 재건되었다. 숭실대학은 영락교회의 임시건물을 임시 캠퍼스로 사용하다가, 1957년에 상도캠퍼스의 완성으로 이전하게 되었다. 1967년 한국기독교박물관을 개관하고 1969년 컴퓨터라는 용어마저 생소하던 때 대한민국 최초로 컴퓨터공학 교육을 실시했다."
701,"전후, 유럽의 경제는 파괴된 산업 인프라로 인해 70% 감소했다. 소련의 재산 피해는 1,710개의 도시, 70,000개의 마을, 31,850개의 산업 시설이 완파 또는 반파되었다. 전쟁 후 전 세계적으로 피해 정도는 컸으나 대부분 매우 빠른 경제 회복 속도를 보였다. 서독에서는 연합군 점령 첫 해 동안 경제가 침체되었으나, 1950년까지 성장률을 두배로 올리면서 라인 강의 기적이라고 부르게 되었다. 이탈리아는 전쟁 후 매우 경제가 극빈했으나 1950년대 이탈리아의 경제 성장은 고도화되었다. 대조적으로, 영국은 전쟁 후 경제가 파멸적인 상태에 있었으며 수십 년 동안 경제 하락을 겪게 된다. 또한, 소련은 전후 급속한 생산력 증가를 겪게 되었다."
702,"완생(完生)은 바둑에서 쓰이는 용어로, 외부를 향한 활로가 막혀도 죽지 않는 상태의 돌을 말한다. 특정한 돌들에 대하여 상대방이 어떤 수를 두어도 살릴 수 있어야 한다. 그 돌들이 독립된 두 집을 가지고 있거나 상대방의 어떤 착수에도 독립된 두 집을 만들 수 있다면 그 돌들은 완생이다. 단, 예외적으로 빅(빅 (바둑))은 집이 없어도 완생인 것으로 한다. 위의 그림은 대표적인 완생의 예이다. 남은 흑의 활로는 백에게 착수 금지 구역이므로, 백은 흑을 더 공격할 수 없다. 위의 그림에서도 흑은 두 집을 갖고 있지만, 흑 Δ이 백 Δ에 의해 단수(단수 (바둑))에 몰려 있으므로 a가 옥집이 되어 완전한 두 집을 갖지 못하게 되므로 흑은 죽어있는 상태이다."
703,"《노부나가의 야망 DS》(일본어: 信長の野望DS)는 코에이에서 2006년 4월 27일에 발매 된 닌텐도 DS용 역사 시뮬레이션 게임이다. 《열풍전withPK》를 베이스로 개발되어, 맵과 코멘트, '제왕의 전투(諸王の戦い)' 시나리오 등의 특징에서 PS판을 베이스로 하고 있는 것을 알 수 있다. 단, 터치 패널의 마우스와 유사한 조작성과 두 화면의 활용 등 Windows판에 가까운 부분도 가지고 있다. 얼굴 그래픽은 《천하창세》나 《혁신》 등, 발매 당시의 작품에서 사용하고 있던 그래픽을 베이스로 하고 있다. 오다 가 가문(家紋)에 대해서도 《열풍전》의 청색 표시가 아닌, 《람세기》 이후의 적색 표시로 되어 있다. 베이스가 된 《열풍전withPK》처럼 신무장과 신가보를 등록하여 게임에 등장시키는 것은 할 수 있지만, 기존의 무장이나 성의 데이터 에디터 기능은 탑재되지 않았다. 최초의 화면에 등장하는 옵션에서는 무장의 데이터나 역사 이벤트를 볼 수 있다."
704,"오른손에 수대를 끼우면서 탈출기 15장 6~7절을, 왼손에 수대를 끼면서 시편 119편 73절을 봉독한다. 마지막으로 시편 132편 9절을 봉독하면서 펠로니온을 입는다. 이로써 사제가 제의를 입는 의식이 끝났다. 이 의식은 사제가 제의를 입으면서 하느님의 말씀으로 무장하는 의식이라고 하여 ‘게러’라고 부른다. 게러가 끝나면 사제는 손을 물로 씻은 다음 “주님의 손을 씻고 죄없는 몸으로 당신의 제대를 두루 돌면서 저에게 하신 놀라운 일들을 전하며 고마운 마음으로 노래하며 찬미하리라. 주님, 저는 당신이 사시는 집이 좋사옵니다. 당신의 영광이 깃든 곳이 좋사옵니다."
705,"1632년 데울리노의 휴전의 효력이 없어지자 양국의 적의는 다시 높아져 스몰렌스크를 둘러싼 전쟁(스몰렌스크 전쟁)이 발발했다. 이때 지그문트 3세가 죽은 후여서 연방의 결속은 약해진 채 러시아에게서 공격을 받게 되었다. 그러나 러시아는 스몰렌스크를 빼앗지 못한 채 1634년 폴랴놉카 조약(Treaty of Polyanovka)을 받아들이게 되었다. 러시아는 2만 루블(rubles)을 연방에게 지불하게 되었고, 폴란드 왕으로 즉위한 브와디스와프는 자신이 전 러시아의 차르가 되어야 한다는 주장을 포기하고, 미하일 로마노프를 러시아의 차르로서 인정하고 왕권의 상징과 함께 퇴각했다. 러시아와 폴란드 전쟁 및 가짜 드미트리 들의 출현으로 이어지는 역사는 폴란드와 러시아의 장래 통치자들 및 정치가들에게 있어 유용하게 사용되었다. 이 전쟁을 취합하여 정리한 역사이야기는 러시아에서도 폴란드에서도 인기를 얻었다. 폴란드에서 이 전역은 폴란드 황금시대의 절정기로써 기억되어 나폴레옹 및 아돌프 히틀러의 나치 독일과 기타 추축국도 러시아를 공격해 모스크바를 점령하여 통치한 때를 그 정점으로 보았다."
706,"배구(排球)는 각 6명 또는 9명(국제 경기에서는 각 6명을 많이함, 사회 경기에서 각 9명을 많이함.)으로 구성된 두 팀이 중앙에 네트가 설치된 코트에서 네트 너머로 공을 쳐 넘기며 겨루는 구기 경기 종목이다. 배구는 1895년 미국 매사추세츠 주 홀리요크(홀리요크, 매사추세츠 주)(Holyoke)에 있는 YMCA(기독교청년회)의 체육부장 윌리엄 모건(Williams G.Morgan)에 의하여 고안되었다. 당시 모건은 과격한 농구보다 유연한 구기 종목의 필요성을 느껴, 흥미있고 남녀노소가 적당한 운동으로서 함께 즐길 수 있는 대중적 운동을 모색하는 데 심혈을 기울였다. 배구의 초기 명칭은 미노넷(Minonette)으로 불리었다. 테니스에서 힌트를 얻어 테니스 네트를 체육관 중앙에 6피트 6인치 높이에 설치하여 시험하였고, 미국 매사추세츠의 스프링 필드의 할스테드(DR.Halstead)씨가 볼을 네트 위로 넘겨 날려 보내는 게임을 창안해낸 후부터 ‘Volley Ball’ 이라는 명칭을 붙이게 되었다. 처음엔 직장인을 위한 레크레이션 활동으로서 고안되어 1팀이 5명으로 이루어져 21점제로 게임을 했었는데, 1918년 6인제·15점제·로테이션제라는 6인제 국제규칙이 확립되었다.(지금은 2000년 1월 1일부터는 새롭게 바뀐 25점 랠리포인트제(5세트는 15점)로 국제경기 진행) 미국에서 활발히 진행되던 배구는 제1차 세계대전을 계기로 미군들을 통해 유럽 지역에 전해졌고, 1947년 프랑스 파리(파리 시)에서 소련, 폴란드, 유고슬라비아, 체코 등 15개국이 참가한 가운데 FIVB(국제배구연맹)(Federation Internationale de Volleyball：국제배구연맹)가 창설되었다. 이러한 단체가 결성되면서 배구 규칙도 통합 제정되고, 국제 경기도 개최되는 등 배구 경기의 열기를 자극시켰다."
707,"하지만 동시에 전임 교황들의 자세를 견지하였으며, 시노드 초대를 환영했지만 불필요하다고 생각했다. 황제의 첫 번째 서신 또한 로마에 당도하자 교황은 신중하게 협상하였다. 그는 먼저 로마에서 시노드를 소집하여 회의를 거친 후, 콘스탄티노폴리스로 사절단을 보내기로 결정하였다. 그리고 자신이 콘스탄티노폴리스로 사절단을 보낸다는 것을 알리는 서신을 황제에게 써서 보냈다. 그리하여 파비아의 엔노디우스와 카티나의 포르투나투스 등 두 명의 주교와 사제 베난시오, 부제 비탈리스, 공증인 힐라리오로 구성된 교황의 사절단이 콘스탄티노폴리스 궁정을 방문하였다. 호르미스다는 사절단을 통해 교회 일치에 앞서 몇 가지 선행조건을 제시하였는데, 다음과 같다. 첫째, 황제는 칼케돈 공의회의 결의와 교황 레오 1세의 교의서한(Tomus)을 수용한다는 것을 공식적으로 선포해야 한다."
708,"북부 전쟁이 진행되면서 스웨덴 국왕 카를 10세 구스타프는 해협 행진을 통하여 윌란 반도로 진입하였고, 셸란 섬을 점령하였다. 침략은 1658년 2월 11일 시작되었다. 기초 조약 토스트루프 조약이 1658년 2월 18일, 로스킬레 조약은 1658년 2월 26일 맺어졌다. 스웨덴은 서부 노르웨이의 롬스달도 침략하였으나, 지역 농부들은 스웨덴에 세금 내기와 징병을 거부하였고, 스웨덴에서는 군부대를 보내서 세금을 걷으려고 하였으나 실패하였다.[2]"
709,"《Lee-Tzsche》는 가수 이상은의 정규음반 8집이다. 이상은이 영국의 유명 레코드사인 버진(Virgin)-도시바 EMI사와 음반계약을 맺고, 'Lee-Tzsche(리채,リ-チェ)'라는 이름으로 발매한 음반이다. 앨범에 담긴 12곡 중 6곡은 7집에 수록되어 있던 곡을 영어가사로 바꾸고 편곡을 달리해 선보인 것이며, 나머지 새로운 6곡도 모두 영어가사로 되어 있다. 1997년 12월 일본에서 발매되고, 계속된 요청으로 한국에는 2000년도에 뒤늦게 수입되었다. 앨범 타이틀곡 'Actually, Finally' 와 11번트랙 'Release Your Mind'는 영국의 유명 프로듀서 Richard Niles(폴 매카트니, 팻숍 보이즈, 앨라니스 모리셋과 작업)가 편곡을 하였는데,  팝적인 요소가 강해서 오히려 이상은의 색깔을 잘 반영하지 못했다는 평을 받았다. 그래서인지 'Actually, Finally'는 악기사용의 절제와 차분한 목소리 톤으로 편곡(다케다 하지무)되었던 오리지널 버전으로 후에 옴니버스앨범인 '도시락특공대 2집' 과 'Lee-tzsche 1991-1999 베스트앨범'에 다시 수록되었다."
710,"끈 이론은 1차원의 개체인 끈과 이에 관련된 막(幕, )을 다루는 물리학 이론이다. 양자장론에서는 (0차원의) 점입자를 다루는데, 이에 따라 여러 무한대가 생겨 기본 이론으로 적절하지 않다. 끈 이론은 대신 크기를 지닌 개체를 다룸으로써 이러한 무한대를 피한다. 또한 끈 이론은 게이지 이론과 일반 상대론을 자연스럽게 포함한다. 이러한 성질 때문에 끈 이론은 모든 것의 이론의 유력한 후보다."
711,"⟪인식과 오류⟫(Erkenntnis und Irrtum)는 에른스트 마흐의 저서이다 이 책의 부제인 '탐구의 심리학 약설(略說)'이 말해 주듯이, 과학적 탐구의 심리 및 논리를 다룬 것으로 많은 항목으로 나누어져 있다. ⟪인식과 오류⟫라는 제목은 부제 중 하나에서 딴 것으로 이 장에서는 오류론을 전개하고 있다. 마흐에 의하면 모든 인식은 감각으로부터 출발하고 감각으로 돌아가는 것이다. 따라서 바른 인식도 잘못된 인식도 감각이라는 동일한 심적 원천(心的源泉)으로부터 나온 것으로 이 단계에서는 어느 것이 잘못된 것인지를 말할 수가 없다. 그것을 알 수 있는 것은 오직 결과에서만 가능하며, 잘못에 바탕을 둔 행동을 해서 곤란한 경우에 부딪히거나 불이익을 당하고 나서야 알게 되는 것이다. 따라서 금후로는 잘못을 범하지 않도록 조심하는 태도가 생기는데, 이 태도가 의도적·과학적 탐구의 시초라고 보아도 좋으며, 이 점에서 잘못은 탐구를 촉진하고 우리를 바른 인식으로 인도하는 것으로서 적극적으로 평가되지 않으면 안 된다. 이 문서에는 다음커뮤니케이션(현 카카오)에서 GFDL 또는 CC-SA 라이선스로 배포한 글로벌 세계대백과사전의 내용을 기초로 작성된 글이 포함되어 있습니다."
712,"오르델라피 가의 기원은 확실치 않으며, 그들 스스로는 889년 베렌가리오 1세의 휘하에 있던 게르만 병사 '로르 데 라피아'(Lor de Laffia)의 혈통임을 주장했다. 그는 포를리의 관리자로 임명되어, 자유 코무네로서 통치하기 시작했다. 910년 로르 데 라피아는 포를리 장악을 시도했으나, 라벤나로 추방당하고 말았다. 그의 후계자들은 ""로르델라피""(Lordelaffi), ""오르델라프""(Ordelaf)라고 불리다가 마침내 ""오르델라피""(Ordelaffi)가 되었다."
713,"이완용은 경성서화미술원을 기반으로 이듬해 조선서화미술회를 설립한 뒤 회장으로 취임했다. 이완용의 처남인 조민희를 비롯하여 조중응 등 조선총독부와 가까운 세도가이면서 서화 애호의 취향을 가진 이들이 주축을 이루었다. 1913년과 1915년에는 서화대전람회를 개최하여 근대적 미술 문화를 보급하였으며, 첫 번째 전람회에는 이완용도 작품을 출품했다. 한편, 경성서화미술원 산하에 있던 강습소는 1914년에 이완용에 의해 조선서화미술회 강습소로 개편되어 동양화가를 양성하는 기관이 되었다. 강습소의 교수로는 유명 동양화가인 안중식과 조석진 등이 채용되었고 1914년에 제1회 졸업생을 배출하였다. 조선서화미술회 강습소 출신으로 한국 근대 동양화단의 중추가 되는 화가인: 김은호, 이상범, 노수현, 최우석, 오일영 등이 있다. 1918년 강습소에서 제4회 졸업생을 배출한 것을 마지막으로 1920년 6월에 해체되었다."
714,"이렇게 작은 섬 마을의 어항이 국가어항으로 지정된 것은 기상악화시 대피항과 한산도 남쪽 해역에서 조업하는 어선들의 중간보급기지로 활용하기 위해서다. 호두항의 어업인구는 230여명이며, 지방어선은 80여척에 달한다. 호두항 어민들은 일반어업보다는 양식업을 주로 하고 있다. 주로 마을 근처의 바다에서 미역을 양식한다. 호두마을은 전형적인 섬 마을로 여전히 때묻지 않은 인정과 깨끗한 바다가 간직되어 있다. 북쪽 해안의 줄곧 바다를 따라가는 도로는 길가의 바다가 깨끗하고 주변 풍광도 아름다워서 자분자분 걷기에 좋다. 그 길의 중간쯤에는 세상에서 가장 바다와 가까운 성싶은 한산초등학교 용호분교가 자리잡았는데 주변 풍광과 교사가 아름다워서 영화 《국화꽃 향기》가 촬영되기도 했다."
715,"모자이크의 변의 길이가 줄어든 것은 투과성의 향상으로 이어졌으며, 이런 환경에서는 가짜로 연기 할 수 없었기에 실제로 성 행위를 하게 되었다. 비데륜의 영향력이 강했던 대여 업계(렌탈 비디오)에서는 기지혼방을 하는 배우들이 많았으나, 이러한 배우들이 셀 비디오에서 활약하는 경우는 없었다. 또 1998년 최초의 셀 비디오 전속 배우인 모리시타 쿠루미가 소프트 온 디맨드에서 데뷔하면서, 셀 비디오의 규모 확대가 가속화되기 시작한다. ※ 2015년 6월 기준으로 패키지에 전속으로 표기되며, 각 메이커에서 1년 이상 전속 상태인 배우들의 목록이다 굵은 글씨는 2개의 메이커에서 동시에 계약을 맺은 경우이다. ※ 2015년 7월 31일 기준이며, DMM.R18(DMM)의 검색 결과를 기준으로 한다."
716,"자유의 마을(自由-)은 한반도의 군사분계선 남쪽 비무장 지대(한반도 비무장 지대)에 위치한 민간인 거주 지역으로, 대성동 마을(臺城洞-)로도 알려져 있다. 대한민국에서 유일하게 비무장지대에 위치한 마을로, 정전 협정에 따라서 1953년 8월 3일 군사정전위원회가 평화의 마을과 함께 조성하였다. 행정 구역 상의 소재지는 경기도 파주시 군내면(군내면 (파주시)) 조산리이며, 인구는 2012년 3월 19일 기준 47세대 49가구 212명이 거주하고 있다. 자유의 마을은 유엔사의 민사규정과 대한민국 법률이 공동으로 적용되는 특수 지역으로, 행정구역은 파주시에 속하나 민사 행정 및 구제 사업은 유엔군 사령부의 관리를 받고 있다. 마을의 주민은 국방의 의무와 납세의 의무를 면제 받으며, 대한민국 정부로부터 각종 지원을 받는 혜택을 누리고 있다. 군사분계선 북쪽에는 기정동(機井洞) 평화의 마을이 위치하고 있으며, 이 마을 또한 조선민주주의인민공화국에서 유일하게 비무장지대에 위치한 민간인 거주지이다. 자유의 마을과 기정동 마을은 한반도의 분단과 대치 상황을 상징적으로 보여주는 마을로 잘 알려져 있다."
717,"이외에도 안양베네스트, 가평베네스트, 안성베네스트, 동래베네스트 등 격조 높은 서비스를 제공하는 4개의 명문 골프클럽을 운영하며 한국의 골프문화를 이끌고 있다. 제일모직(第一毛織)은 삼성그룹 계열의 대한민국 제조기업이었다. 1954년 9월 15일 제일모직 공업 주식회사로 설립되어 이병철에 의해 삼성그룹의 모태 기업으로 출발하였다. 1972년 7월 경북 경산공장을 분리해 제일합섬 (현 도레이케미칼)을 설립했다. 이후 1976년 제일모직 주식회사로 상호를 변경했다. 1970년대에는 패션사업 진출, 1990년대에는 케미칼 사업, 2000년대에는 전자재료 사업에 진출했다. 케미칼 부문은 ABS, PS, Engineering Plastics 등의 합성수지 사업을 시작으로, 현재 고기능 합성수지인 모니터용 난연ABS와 냉장고용 압출ABS 수지는 세계 최고 시장 점유율을 보이고 있다."
718,1960년 로마 대회(1960년 하계 올림픽) 때 사이클 개인도로 경기 중에 덴마크 선수인 크누드 에네마르크 옌센이 자전거에서 떨어져서 사망했다. 검시관들의 조사에 의하면 그의 죽음의 원인은 암페타민 과다 복용이라고 했다. 이에 1960년대 중반부터 각 경기 연맹은 약물 복용을 금지하기 시작했으며 1967년에는 IOC도 약물 복용 금지에 동참했다. 올림픽에서 약물 복용 양성 반응이 나와서 메달을 박탈당한 첫 번째 사례로는 1968년 하계 올림픽의 근대 5종 경기에 출전해 동메달을 딴 한스 군나르 리렌바르가 있다. 그는 경기 후 도핑검사 결과 알코올을 복용한 것으로 확인되어 메달을 박탈당했다. 도핑 양성 반응으로 메달을 박탈당한 것으로 가장 유명한 사람은 1988년 하계 올림픽 육상 100m 경기에서 금메달을 땄으나 도핑 검사 결과 스타노졸롤을 복용한 것으로 확인돼 금메달을 박탈당한 캐나다 선수인 벤 존슨(벤 존슨 (육상 선수))이 있다. 이에 따라 금메달은 2위를 했던 칼 루이스가 대신 받았다.
719,"벳엣홈 오픈 독일 테니스 선수권 대회( Bet-at-home Open German Tennis Championship)는 매년 독일 함부르크에서 열리는 남자 프로 테니스 대회이다. 제1회 대회는 1892년 개최되었다. ATP 투어(프로 테니스 협회) 대회 분류 중 ATP 월드 투어 500 시리즈에 속하며, 코트 종류는 클레이 코트이다. 매년 5월 말에 열리는 클레이 코트 그랜드 슬램(그랜드 슬램 (테니스)) 대회인 프랑스 오픈의 전초전 성격의 대회로서 5월에 주로 열려왔으며, 최근에는 7월에 개최되었다. 독일 오픈이나 함부르크 오픈이라고도 불린다."
720,"Solar는 대한민국의 음악 그룹인 빅뱅(빅뱅 (음악 그룹))의 태양(태양 (가수))의 첫 번째 정규 음반이다. 이 음반은 각각 두 가지 버전; 2010년 7월 1일에는 앨범마다 고유번호가 새겨진 디럭스 에디션의 3만 장으로 한정된 리미티드 앨범과 7월 9일에는 일반판으로 발매되었다. 타이틀 곡 ""I Need A Girl""은 그룹의 멤버 G-Dragon(지드래곤)이 작사와 피처링에 참여하였다. 2010년 7월 9일, 태양의 솔로 음반 Solar은 미국과 캐나다의 아이튠즈 R&B/Soul 앨범 차트에서 각각 2위와 1위를 기록했으며, 이는 아시아 가수로서는 처음있는 일이다. 이 음반에서 태양은 그의 가창력 뿐만 아니라, 자신의 작곡 향상에도 많은 노력을 하며 수록곡의 4곡에 공동 작곡(""Solar (Intro)"", ""Where U At"", ""Wedding Dress"", ""Take It Slow"")과 ""Take It Slow""의 작사에 참여했다. 8월 25일에는 인터내셔널 릴리즈 앨범이 발매되었는데, 태양에게는 첫 국제적인 앨범으로 CD 음반과 비디오 음반이 모두 아이튠즈에 전 세계적으로 발매 되는 것은 K-Pop 음악 최초의 일이다. 비디오 음반이 9월 10일에 도착하는 동안 CD 음반은 2010년 8월 19일 아이튠즈 스토어에 판매 되었다."
721,"아르센 벵거(, , 1949년 10월 22일~)는 프랑스의 축구 감독이다. 현재 아스널 FC의 감독을 맡고 있다. 아스널 FC 역사상 가장 뛰어난 감독이자 가장 많은 경기를 치르고 있는 감독이기도 하며 일명 ""교수(The Professor)""라는 별명으로 부르고 있다. 선수들에겐 ""보스(Boss)""라고 불리고 있다. 스트라스부르 대학교에서 경제학 석사 학위를 취득한 바 있다. 벵거는 2003년에 영국 정부로부터 명예 OBE(대영 제국 훈장)훈장(외국인대상 명예훈장)을 받았다. 아르센 벵거는 프랑스의 북동쪽 독일 접경 지역인 알자스 스트라스부르 출신이다."
722,"충주 험멜 FC(, 충주 험멜 프로축구단)는 충청북도 충주시를 연고로 하고 있는 대한민국의 프로 축구단이었다. 1999년 창단 이래 2000년 서울시장기배 우승, 2002년 덴마크 험멜컵 준우승, 2003년 전국체육대회 3위 등의 성적을 냈으며, 2013년부터 2016년까지 K리그 챌린지에 소속되어 있었으나 재정적인 어려움 등으로 인하여 2016 시즌을 끝으로 해체하였다. 충주 험멜은 1974년 5월 서울특별시 노원구 월계동(월계동 (서울))의 청년 20여명이 모여 결성한 월계축구회가 모체이다. 월계축구회는 하석주, 이재철, 고병운, 이학종 등을 배출하며 아마추어 축구단으로서 이름을 알렸다. 실제로 1978년부터 각종 클럽 대항전에 나가 수 많은 우승을 차지하였다. 뿐만 아니라 이상재(이상재 (축구인)), 최우영, 문성철, 최석호 등 개인 또는 가정 사정으로 인하여 프로 축구나 실업 축구(내셔널리그 (대한민국))계에 발을 들여놓지 못한 선수들이 소속되었던 팀이어서 축구판 '공포의 외인구단'으로 불리기도 하였다. 월계축구회의 창립 멤버이자 클럽의 단장이었던 변석화는 개인 축구 용품점인 월계 축구사를 운영하고 있었다."
723,"온타리오 주 노이슈타트에서 독일계 아버지와 스코틀랜드계 어머니 사이에서 태어났고, 1903년 가족과 함께 서스캐처원 주로 이주하였다. 변호사가 될 계획을 세워 서스캐처원 대학교에서 법학을 공부하였고, 1919년 서스캐처원 주의 워코(Wakaw)에서 자신의 법률 사무소를 열었다. 주민들은 그의 기술을 방어적 변호사로 주목하였다. 1920년 정계에 입문하여 진보보수당 당수로 1940년 캐나다 하원 의원에 선출되었다. 1957년 6월 21일 13대 총리에 취임하여, 캐나다를 더욱 부유한 국가로 성장시키기 위한 일을 시작하였다. 또한 오대호와 대서양을 잇는 세인트로렌스 수로를 여는 데 도움을 주었다. 1963년 4월 22일에 총리직을 사임하였고, 1967년 진보보수당 당수 직위에서도 물러났다."
724,"커리 도표(또는 ‘페르미-커리 도표’)는 베타 붕괴를 연구할 때 사용하는 그래프(함수의 그래프)로서, 특정한 좁은 구역의 운동량(혹은 에너지)을 가지는 베타 입자의 개수의 제곱근을 페르미 함수로 나눈 다음, 결과값을 베타 입자 에너지의 함수로 간주하여 그래프로 그린 것이다. 페르미의 베타 붕괴 이론에 따라, 허용된 상태 전이와 일부 금지된 상태 전이가 각각 그래프 상에 직선으로 나타나게 된다. 베타 붕괴의 연구는 최초로 중성미자의 존재에 대한 실마리를 제공했다는 역사적 의의가 있다. 1911년에 리제 마이트너와 오토 한은 베타 붕괴에서 발생하는 전자 에너지의 스펙트럼이 선 스펙트럼이 아닌 연속적인 스펙트럼이 됨을 실험으로 보였다. 이는 마치 붕괴 과정에서 에너지가 사라지는 것처럼 보였는데, 만약 그게 사실이라면 에너지 보존 법칙(에너지 보존)이 깨지는 것이었다. 또다른 문제는 질소-14 (N) 원자핵의 스핀이 1이라는 것이었는데, 어니스트 러더퍼드가 제안한 원자 모델에 따르면 질소-14 원자핵의 스핀은 1/2이어야 했다. (러더퍼드의 모델에 따르면 질소-14 원자핵은 양성자 14개와 전자 7개로 구성된다."
725,"그의 아빠를 제외하고 고로는 호시노 모모코와 사토 토시야와 아주 가까운 사이인데, 모모코는 고로의 유치원 선생님이며, 유치원에서 고로의 나이의 아이는 없었기 때문에 특히 관심있게 지켜보고 있었다. 토시야는 이웃에 있는 다른 꼬마로 같은 나이 또래의 유일한 친구였으며, 고로에게 야구를 배웠다. 고로는 아빠가 고질적인 팔꿈치 부상으로 투수로서의 야구 인생을 그만 두려고 하자, 구단 사무소에 찾아가 울면서 부탁했지만 어쩔 수 없었다. 그러나, 혼다는 그에게 남은 것이라고는 그의 아들과 야구밖에 없다는 것을 느끼고, 혼다의 가장 좋은 친구의 조언에 의해 타자로 전향하게 하게 되고, 성공적으로 거포로 부활하게 된다. 이런 혼란 속에서 모모코는 혼다 가족의 인생으로 깊게 더 깊게 빠져들게 된다. 결국, 혼다는 모모코에게 청혼하게 된다. 혼다가 요코하마 마린스타즈에서 주요 선수로 구축해 나가고 있을 때, 도쿄 자이언츠는 큰 체격과 빠른 볼을 무기로한 메이저 리그 선수 조 깁슨과 계약을 체결한다."
726,"그렇기 때문에 인적자원을 효율적으로 관리하기 위해서는 조직 구성원이 경험하는 소진을 줄이고 조직몰입을 높이기 위해 조직 차원에서 전략적으로 조직을 관리해야 함을 이야기하였다. Maslach & Jackson(1981)의 연구를 토대로 조직몰입에 부(-)의 결과로 영향을 미치는 감정소진을 밝혔다. 또한 Rafaeli& Sutton(1987)은 종사자가 소진을 겪을 경우 직무만족과 조직몰입의 수준은 상당하게 떨어지게 된다. 그로 인해 개인에게 육체적, 정신적으로 문제가 발생하게 되고, 같은 조직 내에서 일하는 다른 종사자들에게 결코 긍정적인 영향을 미치지 않는 것을 발견하였다. 즉, 한 개인이 감정소진을 느낀다면 그 영향이 부정적으로 다른 종사자에게 이어지고 결국 그 조직의 성과에도 악영향이 미친다. Jackson, Turner& Brief(1987)도 소진은 조직몰입에 부정적인 영향을 준다고 주장하였으며, Turnipseed(1994)의 연구를 소진을 느낀 조직 구성원이 조직몰입과 직무만족을 느끼는 수준이 감소했으며, 결근이나 이직 등 조직 전체의 과업 성과와 생산성을 저해하는 결과와 밀접한 연관이 있음을 이야기하였다. Katarina&Jari-Erik(2004)는 일반 사무직 종사자 286명을 대상으로 실시한 연구를 통해서 조직 구성원의 소진과 조직몰입이 가지는 관계를 파악하였다."
